The Rolling Waves,jig,6/8,1/8,Dmaj,|:FEF DED| D2d cAG|FEF FED|A2F GFE|FEF DED|D2d cAG|FAF GBG|A2F GFE:|D2d cAd| cAd cAG|FEF cAd|A2F GFE|D2d cAd|fed cAG|FAF GBG|A2F GFE:|
The Rose In The Heather,jig,6/8,1/8,Dmaj,"D2F EDB,|DFA BAF|ABd ede|fdB AFE|~F3 EFE|DFA Bcd|edB AFE|FDD D3:||:fdB ABd|faa afd|~g3 fed|Bee ede|fdB ABd|faa afa|baf gfe|1 fdd d2e:|2 fdB AFE||~F3 EFE|DFA BAF|ABd ede|fdB AFE|D2F EDB,|DFA BAF|AdB AFE|1 FDD D3:|2 FDD D2e|||:fdB AFA|dfa afd|~g3 fed|Bee ede|fdB AFA|dfa afa|baf gfe|1 fdd d2e:|2 fdB AFE||"
MacLeod's Farewell,reel,4/4,1/8,Dmaj,DE|F2BF AFEF| D2 DE FABd|e2 fd efdB| ABde dBAG|F2BF AFEF| D2 DE FABd|e2fd efdB|1 ABde d2:|2 ABde d3 ||B|A3 f edfd| A3 f edfd| ABdA BdAB| dBAF E2 DE|F2BF AFEF| D2DE FABd| e2fd efdB|1 ABde d3:|2 ABde d2||
The Rambling Pitchfork,jig,6/8,1/8,Dmaj,F2F AFF|dFF AFF|G2G ABc|ded cAG|FEF AFF|dFF AFF|GFG BAG|FDD D3:|d2e fed|ecA ABc|dcd fed|faf gfe|d2e fed|ecA BAF|GFG BAG|FDD D3:|
The Tarbolton,reel,4/4,1/8,Edor,D|Eeed e2 BA|GBAF GFEF|Dddc d2 AF|GBAG FDDF|Eeed efge|fedf edBA|GABG FGA=c|BGAF GE E :||gfef (3gfe be|gebe gfef|d2 fd adfd|ABAG FDDF|(3GGG BG (3FFF AF|Eeef gfed|B2 dB AGFA|BGAF GE E :|
Ashokan Farewell,waltz,3/4,1/8,Dmaj,"Ac|d3 cBA|F4 EF|G3 FED|B,2D2B,2|A,2D2F2|A2d2f2|f3gf2|e4:|FG|A3FD2|d4A2|B3cd2|AF F2D2|A3ED2|B,3G,G,2|G,6|A4 FE|D2F2A2|=c4d2|B3cd2|AF F2D2|A,2D2F2|A2d2F2|E3DC2|D4:|"
Over The Moor To Maggie,reel,4/4,1/8,Gmaj,|:DE|G2GA B2Bd|efge dBAG|EAAG ABAG|EAAG AcBA|GFGA BABd|efge dBAG|DGGF GBAG|EDEF G2:||:ga|b2bg a2af|g2ge fedB|eaag abag|eaag a2 ga|b2bg a2af|g2ge fedB|dggf gbag|edef g2:||:cd|e2ec d2dB|c2cA BAGD|EAAG ABAG|EAAG ABcd|e2ec d2dB|c2cA BAGE|DGGF GBAG|EDEF G2:|
The Geese In The Bog,jig,6/8,1/8,Amin,cEE GEE|CEE GEE|cEE GED| EAA A2B|cEE GEE|CEE GEE|cBA GED| EAA A2B:|cee gee| aee gee|cee gee| gaa a2e|cee gee| aee ged| cBA GED| EAA A2B:|
I Buried My Wife And Danced On Her Grave,jig,6/8,1/8,Dmix,|:DDD F2G | AdB cAF | GGG BAG | FFF GEA |DDD F2G | AdB cAF | GGG BAG | AFD D2A :||:d2e fed | faf gfe | d2e fed | dcA dcA |d2e fed | faf gfe | dcA BAG | AFD D3 :|
Crested Hens,waltz,3/4,1/8,Dmaj,| E3G FE | B4 Bc | dc Be dc | dc BA GF |E3G FE | B4 Bc | dc BA GA | B3G FD |E3G FE | B4 Bc | dc Be dc | dc BA GF |E3G FE | B4 Bc | dc BA GA | B4 ef |||| gB Bg gB | =c4ef | gf ag fe | ^d2e2 f2 |gB Bg gB | =c4ef | gf ag fd | e3e ef |gB Bg gB | =c4ef | gf ag fe | ^d2e2 f2 |gB Bg gB | =c4ef | gf ag fd | e3G FA |]
The Concertina,reel,4/4,1/8,Dmaj,|:A2FA BAFA|A2FA BAFA|B2BA B2BA|B2BA BAFA|A2FA BAFA|A2FA BAFA|FABc d2dA|BAFE D4:||:Addd Addd|AddA BAFA|B2BA B2BA|B2BA BAFA|Addd Addd|AddA BAFA|FABc d2dA|BAFE D4:|
The Humours Of Glendart,jig,6/8,1/8,Dmaj,|:BAF AFE|FED EFA|BAF AFE|FEE E2A|BAF AFE|FED FAB|dcB AFE|FDD D2A:|def d2B|ABA AFA|def d2d|ede fdB|def edB|dBA ABc|dcB AFE|FDD D2A:|
Fanny Power,waltz,3/4,1/8,Gmaj,"|:D|""G""G2D ""Em""G>AB|""C""c2B ""D""A2G|""C""F>GE ""D""D>ED|""Bm""F2G ""D""A>Bc|""G""B>AG ""Em""B>cd|""C""e2A ""D""A2G|""C""F>GE ""D""D>GF|""G"" G3 G2 :||: d|""G""dB/2c/2d dB/2c/2d|""Em""G>AG GBd|""C""ec/2d/2e ec/2d/2e|""D""A>BA ABc|""G""B>cd ""C""e>fg|""D""f>ga d2c|""G""B>AG ""D""A/2B/2cF|""G""G3 G2:|"
The Sailor's Bonnet,reel,4/4,1/8,Dmaj,A2 FA d~f3|dfef d~B3| A2 FA dfef|1 dBAF ADDB :|2 dBAF ADD2|||:~a3 a afef|afef d~B3|fb (3bbb bafa|bfaf feef|b~f3 afed|afef d~B3|(3ABA FA dfef |1 dBAF ADD2 :|2 dBAF ADDB||
Frank's,reel,4/4,1/8,Amaj,|Ac BA F2 AF|EF AB cA Bc |d3 f ec Ae |fa ec (3Bcd cB |Ac BA F2 AF|EF AB cA Bc |d3 f ec Ac |BA GB A2 (3EFG |Ac BA F2 AF|EF AB cA Bc |d2 df ec Ae |fa ec (3Bcd cB||Ac BA EF AF |EF AB cA Bc |df (3fff ec Ac|BA GB Ae fg|||aA Ag AA fA |ef fe cA Bc |d3 f ec Ac |Bc de fe (3efg |aA Ag AA fA |ef fe cA Bc |df (3fff ec Ac |BA GB Ae fg |aA Ag AA fA |e f2 e cA Bc |d3 f eA ce |fa ec (3Bcd cB||Ac BA F3 A |EF AB cA Bc |d3 f ec Ac |BA GB A4 ||
